                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    103,                 2.4771,                   1.23,                0.98232,                0.39304,                0.07477,                0.05678,                0.01323,                    nan,                    nan,                    nan,              0.0079804,              0.0079804,              0.0079804
                    104,                 2.2058,                 1.1739,                 1.0071,                  0.647,                0.08411,                0.08197,                0.02478,                    nan,                    nan,                    nan,              0.0079606,              0.0079606,              0.0079606
                    105,                 2.4204,                 1.1667,                 1.0318,                0.72181,                0.06542,                0.07072,                0.01687,                    nan,                    nan,                    nan,              0.0079408,              0.0079408,              0.0079408
                    106,                 2.2032,                 1.1851,                0.99585,                0.83009,                0.07477,                0.08512,                0.02085,                    nan,                    nan,                    nan,               0.007921,               0.007921,               0.007921
                    107,                 2.4734,                 1.2588,                0.97173,                 0.6722,                0.08411,                0.10602,                0.02838,                    nan,                    nan,                    nan,              0.0079012,              0.0079012,              0.0079012
                    108,                 2.2867,                 1.1987,                0.93917,                0.59826,                0.07477,                0.10406,                 0.0216,                    nan,                    nan,                    nan,              0.0078814,              0.0078814,              0.0078814
                    109,                 2.2475,                 1.1414,                0.97725,                0.41104,                0.05607,                0.05741,                 0.0164,                    nan,                    nan,                    nan,              0.0078616,              0.0078616,              0.0078616
                    110,                 2.3257,                 1.1924,                0.95971,                0.62433,                0.08411,                0.09933,                0.02797,                    nan,                    nan,                    nan,              0.0078418,              0.0078418,              0.0078418
                    111,                 2.5316,                 1.1618,                 1.0583,                0.47823,                0.06542,                0.07421,                0.02278,                    nan,                    nan,                    nan,               0.007822,               0.007822,               0.007822
                    112,                 2.2062,                 1.0796,                 0.9408,                0.33044,                0.04673,                0.04859,                0.01712,                    nan,                    nan,                    nan,              0.0078022,              0.0078022,              0.0078022
                    113,                 2.0413,                 1.0067,                0.96293,                0.54258,                0.07477,                0.09958,                0.03833,                    nan,                    nan,                    nan,              0.0077824,              0.0077824,              0.0077824
                    114,                 2.2233,                 1.0793,                0.97557,                0.65586,                0.07477,                0.08948,                0.03075,                    nan,                    nan,                    nan,              0.0077626,              0.0077626,              0.0077626
                    115,                 2.2557,                  1.142,                0.95306,                0.31561,                0.05607,                0.05397,                0.01242,                    nan,                    nan,                    nan,              0.0077428,              0.0077428,              0.0077428
                    116,                 2.2764,                 1.0849,                 0.9648,                0.29712,                0.04673,                0.05377,                0.00879,                    nan,                    nan,                    nan,               0.007723,               0.007723,               0.007723
                    117,                 2.3234,                 1.1053,                0.97288,                0.35641,                0.05607,                0.06328,                0.01853,                    nan,                    nan,                    nan,              0.0077032,              0.0077032,              0.0077032
                    118,                  2.104,                  1.073,                 0.9414,                0.58523,                0.05607,                 0.0654,                0.01292,                    nan,                    nan,                    nan,              0.0076834,              0.0076834,              0.0076834
                    119,                 2.2214,                  1.166,                0.96873,                0.37757,                0.06542,                 0.0587,                0.01728,                    nan,                    nan,                    nan,              0.0076636,              0.0076636,              0.0076636
                    120,                 2.2472,                 1.1674,                0.96501,                0.44694,                0.07477,                0.09343,                0.02887,                    nan,                    nan,                    nan,              0.0076438,              0.0076438,              0.0076438
                    121,                 2.1731,                 1.0424,                 0.9636,                0.45241,                0.06542,                0.07981,                0.02766,                    nan,                    nan,                    nan,               0.007624,               0.007624,               0.007624
                    122,                 2.2249,                 1.0623,                0.95636,                0.38826,                0.04673,                0.05398,                0.03059,                    nan,                    nan,                    nan,              0.0076042,              0.0076042,              0.0076042
                    123,                 2.1762,                 1.0858,                0.96525,                0.47389,                0.07477,                0.09431,                0.03468,                    nan,                    nan,                    nan,              0.0075844,              0.0075844,              0.0075844
                    124,                 2.1719,                 1.0457,                0.97274,                0.67795,                0.06542,                0.09348,                0.03092,                    nan,                    nan,                    nan,              0.0075646,              0.0075646,              0.0075646
                    125,                 2.2936,                  1.134,                0.96539,                0.57577,                0.07477,                0.09368,                0.03119,                    nan,                    nan,                    nan,              0.0075448,              0.0075448,              0.0075448
                    126,                 2.1208,                 1.0755,                0.94518,                0.68785,                0.06542,                0.07565,                0.01749,                    nan,                    nan,                    nan,               0.007525,               0.007525,               0.007525
                    127,                 2.2953,                 1.1058,                 0.9257,                0.44397,                0.04492,                0.04204,                0.01322,                    nan,                    nan,                    nan,              0.0075052,              0.0075052,              0.0075052
                    128,                 2.2063,                 1.0831,                0.95296,                0.66553,                0.06542,                0.07126,                0.01672,                    nan,                    nan,                    nan,              0.0074854,              0.0074854,              0.0074854
                    129,                 2.2195,                 1.0625,                0.92142,                0.59512,                0.07477,                0.09952,                0.02449,                    nan,                    nan,                    nan,              0.0074656,              0.0074656,              0.0074656
