                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    114,                 1.9353,                 1.0063,                0.91535,                0.80955,                0.72897,                0.82172,                0.29901,                 2.3689,                 1.1014,                0.95044,              0.0077626,              0.0077626,              0.0077626
                    115,                 2.2534,                 1.0199,                0.98487,                 0.6381,                0.71028,                0.70409,                0.31531,                 1.9237,                 1.0068,                 0.9577,              0.0077428,              0.0077428,              0.0077428
                    116,                 2.0971,                0.95152,                0.97661,                0.65721,                0.85047,                0.80613,                0.36157,                 2.0081,                 0.9829,                0.93286,               0.007723,               0.007723,               0.007723
                    117,                  2.135,                 1.1076,                 1.0031,                0.74422,                0.73423,                0.78464,                0.33923,                 2.0637,                 1.0388,                0.94067,              0.0077032,              0.0077032,              0.0077032
                    118,                 1.9692,                0.95201,                0.96517,                0.65617,                0.71963,                0.72711,                0.28921,                 2.2735,                 1.0994,                0.98927,              0.0076834,              0.0076834,              0.0076834
                    119,                 2.1645,                 1.0644,                0.90734,                0.69097,                0.75701,                0.78786,                 0.3502,                 1.9684,                 1.0543,                0.98519,              0.0076636,              0.0076636,              0.0076636
                    120,                 2.1457,                 1.0081,                0.97244,                0.82756,                0.71763,                0.84413,                0.33329,                 1.9728,                 1.0024,                0.98198,              0.0076438,              0.0076438,              0.0076438
                    121,                 2.0167,                 1.0515,                 0.9463,                0.75929,                0.67808,                0.76072,                0.28029,                  2.272,                 1.1163,                0.98934,               0.007624,               0.007624,               0.007624
                    122,                 2.0971,                  1.111,                 1.0063,                0.69754,                0.65421,                0.70608,                0.23796,                 2.4241,                 1.1694,                 1.0643,              0.0076042,              0.0076042,              0.0076042
                    123,                 2.1762,                0.98744,                0.97542,                 0.7137,                0.73832,                0.78665,                0.34423,                 1.8304,                0.99488,                0.94406,              0.0075844,              0.0075844,              0.0075844
                    124,                 2.0028,                 1.0479,                0.97149,                0.81774,                0.71028,                0.83828,                 0.3802,                 1.7472,                0.96191,                0.93985,              0.0075646,              0.0075646,              0.0075646
                    125,                 2.1756,                 1.0253,                0.99065,                0.77464,                0.74766,                 0.7874,                0.34307,                 1.8841,                0.98375,                0.92894,              0.0075448,              0.0075448,              0.0075448
                    126,                 2.2123,                 1.0357,                0.93901,                 0.8636,                0.88757,                0.89958,                0.38995,                 2.0396,                0.93131,                0.97662,               0.007525,               0.007525,               0.007525
                    127,                 2.1381,                 1.0796,                0.94757,                0.83604,                 0.8578,                0.90022,                0.45458,                  1.715,                0.88993,                0.94912,              0.0075052,              0.0075052,              0.0075052
                    128,                 1.9566,                 1.0585,                0.91909,                0.78612,                0.82442,                0.83146,                0.30245,                 2.1979,                 1.1254,                0.95794,              0.0074854,              0.0074854,              0.0074854
                    129,                 2.0123,                0.99871,                0.91795,                0.77646,                0.81157,                0.84562,                0.39141,                 1.8369,                0.90469,                0.95259,              0.0074656,              0.0074656,              0.0074656
                    130,                 1.9741,                0.98439,                 1.0007,                0.81915,                0.79439,                0.85857,                0.28075,                 2.3342,                 1.0366,                0.97933,              0.0074458,              0.0074458,              0.0074458
                    131,                 2.0506,                0.91273,                0.97416,                0.81981,                0.85042,                0.89031,                0.34898,                  2.124,                 0.9835,                0.95157,               0.007426,               0.007426,               0.007426
                    132,                  1.977,                0.97166,                0.91068,                 0.8958,                0.80347,                 0.8957,                0.34729,                 2.2772,                 1.0158,                0.96027,              0.0074062,              0.0074062,              0.0074062
                    133,                 2.0514,                0.98853,                0.97158,                0.80336,                0.73832,                0.86583,                0.36521,                 1.8406,                0.83473,                0.92268,              0.0073864,              0.0073864,              0.0073864
                    134,                 2.1205,                0.93646,                 1.0255,                0.79082,                0.70667,                0.84704,                 0.3512,                  2.108,                0.94105,                0.92629,              0.0073666,              0.0073666,              0.0073666
                    135,                  2.001,                0.94108,                0.97154,                0.76479,                0.69895,                0.81734,                0.31329,                  2.313,                0.99594,                 0.9158,              0.0073468,              0.0073468,              0.0073468
                    136,                 2.0699,                0.99329,                0.94676,                0.71183,                 0.6729,                0.78554,                0.36709,                 1.8986,                0.97402,                0.90451,               0.007327,               0.007327,               0.007327
                    137,                 2.0576,                 1.0617,                0.94783,                  0.767,                0.76915,                0.84028,                0.40443,                  1.928,                0.95102,                0.91277,              0.0073072,              0.0073072,              0.0073072
                    138,                  1.834,                0.88559,                0.92969,                0.81892,                0.71854,                0.83403,                0.38688,                 1.8926,                 1.0994,                0.90254,              0.0072874,              0.0072874,              0.0072874
